2026-07-17 18:38:51,390 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:51,390 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.3649999999998 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:51,390 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:51,894 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:51,894 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.3649999999998 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:51,894 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:52,396 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:52,396 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.3649999999998 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:52,396 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:52,905 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:52,905 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.3649999999998 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:52,905 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:53,406 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:53,406 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.415 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:53,406 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:53,906 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:53,907 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.585 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:53,907 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:54,418 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:54,418 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.585 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:54,418 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:54,926 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:54,926 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.585 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:54,926 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:55,429 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:55,429 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.585 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
